rank,prev_rank,name,league,off,def,spi
148,149,Maccabi Tel-Aviv,UEFA Europa League,1.43,1.01,55.6
149,150,Club América,Mexican Primera Division Torneo Clausura,1.49,1.07,55.46
150,146,Brest,French Ligue 1,1.58,1.16,55.36
151,153,Angers,French Ligue 1,1.33,0.93,55.27
152,155,Cruz Azul,Mexican Primera Division Torneo Clausura,1.45,1.04,55.27
153,158,Brondby,Danish SAS-Ligaen,1.63,1.23,55.04
154,154,LASK Linz,Austrian T-Mobile Bundesliga,1.63,1.23,54.87
155,144,Molde,Norwegian Tippeligaen,1.93,1.53,54.59
156,156,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.56,1.18,54.45
157,157,Fluminense,Brasileiro Série A,1.32,0.95,54.39
158,159,Santa Clara,Portuguese Liga,1.39,1.04,54.0
159,160,Ferencvaros,UEFA Champions League,1.62,1.26,53.98
160,152,FC Copenhagen,Danish SAS-Ligaen,1.87,1.51,53.93
161,163,Bordeaux,French Ligue 1,1.46,1.11,53.91
162,161,Metz,French Ligue 1,1.34,1.0,53.89
163,162,Trabzonspor,Turkish Turkcell Super Lig,1.34,1.0,53.7
164,165,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
165,166,Hapoel Be'er,UEFA Europa League,1.62,1.29,53.32
166,167,Santos,Brasileiro Série A,1.39,1.07,53.14
167,168,Blackburn,English League Championship,1.5,1.19,52.88
168,169,CSKA Sofia,UEFA Europa League,1.32,1.02,52.77
169,172,Parma,Italy Serie A,1.65,1.35,52.61
170,171,Malmo FF,Swedish Allsvenskan,1.72,1.42,52.53
171,164,Nimes,French Ligue 1,1.49,1.21,52.4
172,173,Basel,Swiss Raiffeisen Super League,1.79,1.5,52.25
173,174,Tigres UANL,Mexican Primera Division Torneo Clausura,1.34,1.07,51.95
174,175,Atlético Paranaense,Brasileiro Série A,1.22,0.95,51.92
175,176,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
176,177,New York City FC,Major League Soccer,1.65,1.39,51.78
177,178,Corinthians,Brasileiro Série A,1.3,1.04,51.6
178,179,Cardiff City,English League Championship,1.46,1.22,51.41
179,180,Sivasspor,Turkish Turkcell Super Lig,1.39,1.15,51.33
180,181,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
181,182,Rostov,Russian Premier Liga,1.31,1.08,51.15
182,183,Ceará,Brasileiro Série A,1.37,1.14,51.02
183,184,Stoke City,English League Championship,1.25,1.03,50.95
184,185,CFR 1907 Cluj,UEFA Europa League,1.47,1.25,50.79
185,188,Benevento,Italy Serie A,1.54,1.32,50.79
186,186,Pachuca,Mexican Primera Division Torneo Clausura,1.43,1.22,50.67
187,170,Santos Laguna,Mexican Primera Division Torneo Clausura,1.34,1.13,50.62
188,189,Queens Park Rangers,English League Championship,1.51,1.31,50.33
189,190,Ludogorets,UEFA Europa League,1.54,1.35,50.16
190,191,León,Mexican Primera Division Torneo Clausura,1.49,1.3,50.08
191,193,Lech Poznan,UEFA Europa League,1.34,1.16,49.84
192,194,Clermont Foot,French Ligue 2,1.31,1.13,49.83
193,195,Vitesse,Dutch Eredivisie,1.53,1.35,49.82
194,196,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
195,200,Antwerp,Belgian Jupiler League,1.59,1.41,49.8
196,197,Famalicao,Portuguese Liga,1.28,1.1,49.71
197,198,Toulouse,French Ligue 2,1.55,1.39,49.47
198,199,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
199,192,Reims,French Ligue 1,1.23,1.06,49.34
200,201,Atlas,Mexican Primera Division Torneo Clausura,1.18,1.02,49.1
201,187,Seattle Sounders FC,Major League Soccer,1.4,1.25,49.09
202,203,Bahía,Brasileiro Série A,1.37,1.23,48.98
203,204,FC Khimki,Russian Premier Liga,1.26,1.11,48.95
204,202,Los Angeles FC,Major League Soccer,1.61,1.48,48.89
205,206,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
206,208,Racing Club,Argentina Primera Division,1.18,1.06,48.4
207,207,Yokohama F. Marinos,Japanese J League,1.54,1.44,48.33
208,209,KV Mechelen,Belgian Jupiler League,1.67,1.57,48.32
209,210,FC Luzern,Swiss Raiffeisen Super League,1.63,1.54,48.13
210,211,Rotherham United,English League Championship,1.31,1.2,48.12
211,212,Guimaraes,Portuguese Liga,1.22,1.11,47.89
212,213,Reading,English League Championship,1.3,1.2,47.84
213,221,Hamburg SV,German 2. Bundesliga,1.56,1.48,47.77
214,214,FK Qarabag,UEFA Europa League,1.32,1.23,47.77
215,216,Portimonense,Portuguese Liga,1.15,1.06,47.56
216,217,Panathinaikos,Greek Super League,1.08,0.98,47.54
217,215,Rosenborg,Norwegian Tippeligaen,1.58,1.52,47.33
218,219,Crotone,Italy Serie A,1.54,1.48,47.23
219,226,New England Revolution,Major League Soccer,1.44,1.39,47.16
220,218,Swansea City,English League Championship,1.2,1.13,47.1
221,220,Philadelphia Union,Major League Soccer,1.45,1.4,47.01
222,222,Preston North End,English League Championship,1.2,1.14,46.87
223,223,Schalke 04,German Bundesliga,1.49,1.44,46.86
224,224,Middlesbrough,English League Championship,1.24,1.19,46.79
225,228,Mallorca,Spanish Segunda Division,1.11,1.05,46.75
226,225,Guadalajara,Mexican Primera Division Torneo Clausura,1.3,1.25,46.72
227,238,SpVgg Greuther Fürth,German 2. Bundesliga,1.44,1.4,46.7
228,227,Gil Vicente,Portuguese Liga,1.2,1.16,46.55
229,229,Terek Grozny,Russian Premier Liga,1.23,1.2,46.25
230,230,Coventry City,English League Championship,1.27,1.25,46.03
231,231,Rio Ave,Portuguese Liga,1.11,1.08,45.91
232,205,AGF Aarhus,Danish SAS-Ligaen,1.36,1.36,45.9
233,232,Lanus,Argentina Primera Division,1.28,1.27,45.68
234,233,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.57,1.59,45.65
235,234,Atlético Goianiense,Brasileiro Série A,1.2,1.19,45.65
236,235,Kashima Antlers,Japanese J League,1.38,1.38,45.61
237,236,Fortaleza,Brasileiro Série A,1.13,1.12,45.45
238,237,Omonia Nicosia,UEFA Europa League,1.41,1.43,45.33
239,243,Girona FC,Spanish Segunda Division,1.11,1.11,45.11
240,240,Ural Sverdlovsk Oblast,Russian Premier Liga,1.09,1.1,44.98
241,242,FC Zorya Luhansk,UEFA Europa League,1.27,1.29,44.92
242,244,Derby County,English League Championship,1.17,1.19,44.85
243,245,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
244,246,Millwall,English League Championship,1.25,1.29,44.77
245,247,Luton Town,English League Championship,1.2,1.24,44.65
246,248,Sporting Kansas City,Major League Soccer,1.45,1.51,44.53
247,249,KV Oostende,Belgian Jupiler League,1.49,1.57,44.36
248,283,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.37,1.44,44.23
249,251,Sparta,Dutch Eredivisie,1.37,1.44,44.22
250,270,Puebla,Mexican Primera Division Torneo Clausura,1.15,1.2,44.19
251,252,Nottingham Forest,English League Championship,1.07,1.11,44.18
252,239,FC Nordsjaelland,Danish SAS-Ligaen,1.5,1.6,43.99
253,253,Pacos Ferreira,Portuguese Liga,1.17,1.23,43.92
254,254,FC Sion,Swiss Raiffeisen Super League,1.49,1.59,43.91
255,256,Aris Salonika,Greek Super League,1.32,1.4,43.8
256,257,Alanyaspor,Turkish Turkcell Super Lig,1.29,1.37,43.76
257,258,SC Farense,Portuguese Liga,1.19,1.26,43.71
258,259,Standard Liege,Belgian Jupiler League,1.47,1.58,43.67
259,241,Fortuna Düsseldorf,German 2. Bundesliga,1.31,1.41,43.62
260,262,Leganes,Spanish Segunda Division,1.01,1.07,43.5
261,260,Portland Timbers,Major League Soccer,1.5,1.62,43.41
262,261,Fatih Karagümrük,Turkish Turkcell Super Lig,1.39,1.5,43.4
263,281,Rayo Vallecano,Spanish Segunda Division,1.2,1.3,43.26
264,263,FC Ufa,Russian Premier Liga,1.03,1.1,43.17
265,264,Sheffield Wednesday,English League Championship,1.21,1.31,43.15
266,266,Hatayspor,Turkish Turkcell Super Lig,1.3,1.42,43.07
267,267,St Gallen,Swiss Raiffeisen Super League,1.41,1.54,43.05
268,255,Djurgardens IF,Swedish Allsvenskan,1.25,1.37,42.95
269,268,Hull City,English League One,1.29,1.41,42.91
270,265,Almeria,Spanish Segunda Division,1.23,1.34,42.89
271,269,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
272,271,Troyes,French Ligue 2,1.23,1.35,42.77
273,272,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
274,273,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
275,274,Wycombe Wanderers,English League Championship,1.22,1.35,42.59
276,275,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.29,1.43,42.54
277,276,Boavista,Portuguese Liga,1.19,1.32,42.46
278,277,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.12,1.24,42.45
279,278,Moreirense,Portuguese Liga,1.18,1.33,42.17
280,285,VfL Bochum,German 2. Bundesliga,1.33,1.49,42.14
281,279,Pumas Unam,Mexican Primera Division Torneo Clausura,1.05,1.17,42.04
282,280,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.57,1.78,41.84
283,282,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
284,284,Birmingham,English League Championship,1.1,1.25,41.68
285,342,AaB,Danish SAS-Ligaen,1.25,1.43,41.61
286,250,Melbourne City,Australian A-League,1.59,1.81,41.59
287,297,Randers FC,Danish SAS-Ligaen,1.19,1.36,41.5
288,286,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
289,287,Belenenses,Portuguese Liga,1.03,1.19,41.43
290,288,Botafogo,Brasileiro Série A,1.22,1.4,41.35
291,289,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
292,290,Konyaspor,Turkish Turkcell Super Lig,1.15,1.33,41.22
293,291,Vasco da Gama,Brasileiro Série A,1.08,1.26,41.12
294,294,Dundalk,UEFA Europa League,1.48,1.72,41.02
295,295,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
296,296,FC Groningen,Dutch Eredivisie,1.13,1.33,40.92
297,292,Orlando City SC,Major League Soccer,1.24,1.45,40.85
298,317,Dijon FCO,French Ligue 1,1.2,1.41,40.76
299,298,Toluca,Mexican Primera Division Torneo Clausura,1.28,1.52,40.49
300,299,Sport Recife,Brasileiro Série A,1.05,1.25,40.35
301,300,Patronato,Argentina Primera Division,1.2,1.43,40.35
302,301,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
303,313,SV Darmstadt 98,German 2. Bundesliga,1.41,1.67,40.29
304,302,Kasimpasa,Turkish Turkcell Super Lig,1.24,1.48,40.25
305,303,FC Zurich,Swiss Raiffeisen Super League,1.51,1.79,40.23
306,305,Heracles,Dutch Eredivisie,1.23,1.48,40.15
307,293,IFK Norrkoping,Swedish Allsvenskan,1.34,1.6,40.14
308,307,Colorado Rapids,Major League Soccer,1.35,1.62,40.08
309,308,Slovan Liberec,UEFA Europa League,1.19,1.44,39.87
310,304,Holstein Kiel,German 2. Bundesliga,1.22,1.48,39.72
311,309,Goiás,Brasileiro Série A,1.17,1.43,39.68
312,310,Banfield,Argentina Primera Division,0.98,1.2,39.66
313,318,New York Red Bulls,Major League Soccer,1.29,1.57,39.57
314,311,Rijeka,UEFA Europa League,1.28,1.56,39.55
315,312,Paris FC,French Ligue 2,1.06,1.3,39.52
316,314,Auxerre,French Ligue 2,1.18,1.45,39.37
317,315,Maritimo,Portuguese Liga,1.01,1.25,39.37
318,319,Lausanne Sports,Swiss Raiffeisen Super League,1.42,1.74,39.28
319,316,FC Dallas,Major League Soccer,1.28,1.57,39.21
320,320,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
321,331,Toronto FC,Major League Soccer,1.26,1.56,39.03
322,321,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
323,322,Tijuana,Mexican Primera Division Torneo Clausura,1.14,1.43,38.95
324,346,Atlanta United FC,Major League Soccer,1.17,1.46,38.93
325,325,Sporting de Charleroi,Belgian Jupiler League,1.24,1.55,38.88
326,330,Arizona United,United Soccer League,1.39,1.73,38.88
327,349,Nashville SC,Major League Soccer,1.06,1.33,38.82
328,327,FC Lugano,Swiss Raiffeisen Super League,1.09,1.38,38.77
329,328,Fortuna Sittard,Dutch Eredivisie,1.33,1.66,38.73
330,329,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
331,332,FC Arsenal Tula,Russian Premier Liga,1.13,1.43,38.61
332,333,Emmen,Dutch Eredivisie,1.31,1.64,38.57
333,334,Goztepe,Turkish Turkcell Super Lig,1.35,1.69,38.56
334,335,Henan Jianye,Chinese Super League,1.25,1.57,38.55
335,370,Odense BK,Danish SAS-Ligaen,1.09,1.38,38.51
336,339,Minnesota United FC,Major League Soccer,1.33,1.68,38.43
337,337,FC Twente,Dutch Eredivisie,1.24,1.58,38.32
338,324,Hannover 96,German 2. Bundesliga,1.23,1.56,38.27
339,326,SC Paderborn,German 2. Bundesliga,1.31,1.67,38.17
340,338,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
341,336,Chicago Fire,Major League Soccer,1.34,1.7,38.09
342,340,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
343,367,Valerenga,Norwegian Tippeligaen,1.22,1.57,38.0
344,343,Huracán,Argentina Primera Division,0.95,1.24,37.93
345,344,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.12,1.44,37.93
346,345,Willem II,Dutch Eredivisie,1.32,1.69,37.82
347,348,Empoli,Italy Serie B,1.17,1.52,37.73
348,306,Nagoya Grampus Eight,Japanese J League,0.85,1.12,37.68
349,350,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
350,351,Servette,Swiss Raiffeisen Super League,1.39,1.79,37.58
351,353,Huddersfield Town,English League Championship,1.1,1.45,37.52
352,354,Heerenveen,Dutch Eredivisie,1.31,1.7,37.51
353,352,Sporting Gijón,Spanish Segunda Division,0.68,0.92,37.44
354,360,Vissel Kobe,Japanese J League,1.17,1.54,37.36
355,347,Columbus Crew,Major League Soccer,1.1,1.46,37.33
356,355,Atromitos,Greek Super League,1.0,1.33,37.25
357,356,Tondela,Portuguese Liga,1.11,1.48,37.19
358,357,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
359,394,Sydney FC,Australian A-League,1.11,1.48,37.1
360,341,Hammarby,Swedish Allsvenskan,1.4,1.85,36.8
361,361,Lecce,Italy Serie B,1.16,1.56,36.78
362,362,Grenoble,French Ligue 2,0.98,1.33,36.69
363,363,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
364,364,Peterborough United,English League One,1.23,1.66,36.52
365,365,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
366,366,Eupen,Belgian Jupiler League,1.21,1.64,36.37
367,368,SV Zulte Waregem,Belgian Jupiler League,1.47,1.97,36.14
368,369,PEC Zwolle,Dutch Eredivisie,1.21,1.65,36.09
369,323,Inter Miami CF,Major League Soccer,1.16,1.6,35.92
370,372,OH Leuven,Belgian Jupiler League,1.33,1.81,35.91
371,373,Mazatlán FC,Mexican Primera Division Torneo Clausura,1.06,1.49,35.74
372,379,Blackpool,English League One,0.96,1.36,35.72
373,374,Necaxa,Mexican Primera Division Torneo Clausura,1.06,1.5,35.57
374,375,St. Truidense,Belgian Jupiler League,1.1,1.55,35.43
375,371,1. FC Heidenheim 1846,German 2. Bundesliga,1.1,1.55,35.42
376,377,San Jose Earthquakes,Major League Soccer,1.29,1.79,35.41
377,396,BK Hacken,Swedish Allsvenskan,1.09,1.54,35.3
378,383,IF Elfsborg,Swedish Allsvenskan,1.17,1.65,35.2
379,378,Coritiba,Brasileiro Série A,0.97,1.4,35.13
380,381,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.15,1.64,35.05
